Time 	 AccX 	 AccY 	 AccZ 	 GyroX 	 GyroY 	 GyroZ
10.931	0.88	0.77	-9.80	0.00	0.07	-0.13
10.961	0.93	0.73	-9.74	0.02	0.01	0.01
10.988	0.91	0.73	-9.79	0.01	0.04	-0.07
11.016	0.87	0.77	-9.80	0.15	-0.05	-0.11
11.042	0.85	0.82	-9.77	0.00	-0.03	-0.07
11.070	0.88	0.75	-9.67	-0.06	0.05	0.07
11.097	0.94	0.76	-9.81	-0.05	-0.07	0.07
11.124	0.93	0.73	-9.74	0.05	0.01	0.11
11.151	0.90	0.78	-9.73	-0.05	-0.02	0.10
11.177	0.96	0.81	-9.80	-0.04	0.10	0.16
11.205	0.90	0.79	-9.84	-0.08	0.08	0.02
11.232	0.93	0.71	-9.80	0.03	-0.04	0.02
11.259	0.85	0.78	-9.87	-0.05	-0.07	-0.10
11.286	0.91	0.79	-9.75	0.01	-0.03	0.13
11.317	0.86	0.73	-9.67	0.03	0.09	0.06
11.343	0.94	0.74	-9.77	-0.04	0.02	-0.02
11.371	0.87	0.72	-9.76	-0.12	0.04	0.06
11.398	0.88	0.87	-9.75	0.04	-0.01	-0.15
11.425	0.86	0.78	-9.75	0.00	0.00	0.14
11.452	0.96	0.79	-9.82	-0.02	0.02	-0.03
11.479	0.86	0.75	-9.76	-0.01	-0.02	-0.10
11.506	0.86	0.77	-9.75	0.01	0.02	0.03
11.533	0.88	0.74	-9.76	-0.00	0.04	-0.04
11.560	0.85	0.77	-9.68	-0.07	-0.09	0.18
11.587	0.88	0.70	-9.77	0.03	-0.07	-0.04
11.615	0.88	0.73	-9.80	0.01	0.09	0.08
11.641	0.83	0.73	-9.80	-0.04	0.00	-0.08
11.672	0.89	0.83	-9.80	-0.04	0.08	-0.13
11.699	0.88	0.72	-9.79	0.00	0.12	-0.07
11.726	0.88	0.70	-9.73	-0.02	-0.00	-0.06
11.753	0.92	0.65	-9.77	-0.07	0.02	0.03
11.781	0.88	0.76	-9.68	0.03	-0.03	-0.08
11.807	0.93	0.63	-9.75	0.03	0.04	-0.02
11.835	0.87	0.78	-9.78	0.00	-0.03	0.04
11.862	0.81	0.83	-9.80	0.05	-0.07	-0.03
11.888	0.99	0.77	-9.78	0.08	0.17	-0.08
11.916	0.92	0.75	-9.63	0.02	-0.12	-0.07
11.942	0.85	0.74	-9.80	-0.15	0.06	0.10
11.970	0.88	0.84	-9.78	-0.02	0.00	-0.03
11.997	0.84	0.78	-9.70	0.06	-0.06	0.09
12.027	0.88	0.80	-9.69	0.10	-0.06	0.03
12.054	0.83	0.80	-9.73	-0.03	0.01	0.04
12.082	0.88	0.85	-9.75	-0.01	0.02	0.06
12.108	0.93	0.70	-9.73	0.00	-0.05	-0.01
12.136	0.83	0.68	-9.80	-0.07	-0.06	0.06
12.163	0.89	0.81	-9.72	-0.01	0.07	0.06
12.190	0.83	0.79	-9.77	-0.01	0.01	-0.04
12.217	0.88	0.75	-9.77	0.06	-0.13	-0.02
12.244	0.88	0.77	-9.75	0.05	0.03	0.02
12.271	0.90	0.72	-9.78	0.10	0.01	0.08
12.298	0.91	0.71	-9.75	0.05	-0.01	-0.02
12.325	0.87	0.70	-9.80	0.07	-0.06	0.07
